类别	原文	出处	不翻译原因
挂起-线上多人教程	~s~The player with the highest score when the game ends is the winner. In a timed game, the remaining time will be displayed in the top right of the screen.	本体/MTUT/Key:39069287	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Your opponents are also represented on the radar by icons. Each has a unique color.	本体/MTUT/Key:397166ec	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Leave Game from the phone menu.	本体/MTUT/Key:3efc133e	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The dollar amount in the bottom left of the screen represents the total cash you have earned in ranked games.	本体/MTUT/Key:410466da	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Press ~INPUT_VEH_HEADLIGHT~ to cycle through weapons while in a car.	本体/MTUT/Key:41763e52	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~When you are killed, you will spawn in a position close to the action.	本体/MTUT/Key:43f72692	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You can start multiplayer games through the phone.	本体/MTUT/Key:4656bbfd	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~When free aiming at a target, your first shot will be most accurate.	本体/MTUT/Key:4871689e	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Once you join or start a multiplayer game you will enter the lobby screen.	本体/MTUT/Key:49e9cba0	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You can leave a game at any time using your phone.	本体/MTUT/Key:4e15b171	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Using the environment and powerful weapons, in the way this player is, will give you the advantage in combat.	本体/MTUT/Key:51b8c215	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The lobby screen displays both the game mode and its rules, and also has options that you can alter.	本体/MTUT/Key:5bb86f3d	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In a multiplayer game you will automatically run when moving. Use ~INPUT_SPRINT~ to sprint.	本体/MTUT/Key:5f4f4bd4	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~At the end of the game the score screen will appear. This represents your deaths, your kills and how much cash you have earned.	本体/MTUT/Key:5f771e50	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Use ~INPUT_AIM~ to aim at a target.	本体/MTUT/Key:60e7a3a5	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You can drive, or ride as a passenger, in a vehicle with your teammates.	本体/MTUT/Key:63ae1e1c	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You can identify opponents by the name displayed above their head. The dot next to the name will flash when they are taking damage.	本体/MTUT/Key:6838ef15	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In other team games, the cash acquired by each team may be divided equally between its members.	本体/MTUT/Key:69ce32fe	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The check box denotes when a player is ready.	本体/MTUT/Key:6dcc1368	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You are currently on the orange team.	本体/MTUT/Key:6dde12ae	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In a team game you must work together in order to win. Do not shoot your teammates and do your best to help them out.	本体/MTUT/Key:71ebba97	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The ticker in the top left of the screen keeps you updated about what is going on in the game.	本体/MTUT/Key:752d88fe	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Player ranks will only be displayed in ranked games.	本体/MTUT/Key:75a79040	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Go to the ~y~tutorial location.	本体/MTUT/Key:796f276e	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The players' names are listed on the left. To the right of the player's name are symbols.	本体/MTUT/Key:7ec1b553	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Take out the enemy team with a driveby.	本体/MTUT/Key:811541a6	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Options are shown on the right of the lobby screen.	本体/MTUT/Key:82a52bf3	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In a Deathmatch game, you will gain cash for killing other players. The scoring rules for each game type will be displayed on its lobby screen.	本体/MTUT/Key:856e297f	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You were killed by a player using high ground to snipe from.	本体/MTUT/Key:8b818b0b	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In multiplayer modes, police will not attempt to bust you, they will only attack you.	本体/MTUT/Key:9038f72d	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The crown icon identifies the host. The host is the player who controls the game settings/options and starts the game.	本体/MTUT/Key:90f3d9b7	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Do not shoot your teammates.	本体/MTUT/Key:9146e209	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The dollar amount in the bottom left of the screen represents the total cash you have earned in multiplayer games.	本体/MTUT/Key:93fb8ccf	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Your rank will increase as you acquire cash in multiplayer games. This unlocks new multiplayer models.	本体/MTUT/Key:95219bd9	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The star icon indicates the player's rank as a number between 0 and 10.	本体/MTUT/Key:981ad526	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~~INPUT_PHONE_TAKE_OUT~ bring up phone.	本体/MTUT/Key:9cc40c6c	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Weapons, health and armor will always reappear in the same place. Learning where they are located is vital for survival.	本体/MTUT/Key:9dc72f96	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Go towards your team.	本体/MTUT/Key:a3a686c8	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~When locking onto a target for the first time, if you lightly press ~INPUT_ATTACK~ the reticule will reduce in size. This means your first shot will be very accurate.	本体/MTUT/Key:a627ed87	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Your rank will increase as you acquire cash in ranked multiplayer games. This unlocks new multiplayer models.	本体/MTUT/Key:a78d740b	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Check the current cash scores at any time by pressing ~PAD_DPAD_DOWN~. This also zooms out the radar.	本体/MTUT/Key:aab6740f	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Access the Player Model screen.	本体/MTUT/Key:add4a4db	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Use ~PAD_RSTICK_ALL~ while in free aim to focus your aim on his head.	本体/MTUT/Key:b5523ba1	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~When all players are ready, the game will launch. The game will also start after a short interval if the host and the majority of players are ready.	本体/MTUT/Key:b80b27e5	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Highlight Multiplayer by pressing ~PAD_DPAD_DOWN~, then press ~PAD_A~ to select it.	本体/MTUT/Key:b927c533	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Join Match.	本体/MTUT/Key:bd501864	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Get in the passenger seat of the car.	本体/MTUT/Key:bdf2bb60	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Aim for the passengers in the car.	本体/MTUT/Key:c05c5777	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In a multiplayer game you will automatically run when moving. Hold ~PAD_A~ to sprint.	本体/MTUT/Key:c0dfa1c6	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Deathmatch.	本体/MTUT/Key:c45e380a	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The mic icon indicates whether you have an Xbox 360 Headset attached or not.	本体/MTUT/Key:c93f57ce	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Activate the menu by pressing ~PAD_A~	本体/MTUT/Key:caede8bf	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~In some team games, your appearance will be picked for you. All members of a team will have the same appearance.	本体/MTUT/Key:cb15cd1c	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~While riding as a passenger you can perform drivebys. Hold ~INPUT_AIM~ and use ~PAD_RSTICK_ALL~ to aim. Press ~INPUT_ATTACK~ to fire.	本体/MTUT/Key:ce9cf3f8	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Quick Match.	本体/MTUT/Key:d23053ae	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Use ~PAD_RSTICK_UP~ while locked on to a target to focus your aim on his head.	本体/MTUT/Key:d2987625	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Hold ~PAD_LT~ to lock on to a target.	本体/MTUT/Key:d2db19bd	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~You can select the area of the city that the game will be played in with the Location option.	本体/MTUT/Key:d9245ae8	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~The mic icon indicates whether you have a headset or not.	本体/MTUT/Key:da27ec1e	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Use ~PAD_RSTICK_ALL~ to target while free-aiming.	本体/MTUT/Key:e0fc12f0	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Multiplayer.	本体/MTUT/Key:e1a637e3	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Take out all of the opponents.	本体/MTUT/Key:e29a9697	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Sustained firing of your weapon will cause recoil and bullets will spread inaccurately. The aiming reticule will grow larger to indicate when this is happening.	本体/MTUT/Key:e3dbe659	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Your name will be listed as part of your team in the lobby. You can also check the teams by accessing the scoreboard.	本体/MTUT/Key:e559a16d	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Select Player Model from the Multiplayer menu on your phone.	本体/MTUT/Key:e758a194	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Hold ~PAD_LT~ to free-aim.	本体/MTUT/Key:e7a772a0	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~r~You left Charge Island and canceled the multiplayer tutorial.	本体/MTUT/Key:eea61c2a	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Pick up the weapon.	本体/MTUT/Key:f0a132a4	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Press ~INPUT_VEH_NEXT_WEAPON~ to cycle through weapons while in a car.	本体/MTUT/Key:f83c74e7	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Many game types - for example, Deathmatch - also have team modes.	本体/MTUT/Key:fb98cdeb	线上多人教程整组挂起(待拍板)
挂起-线上多人教程	~s~Start a Deathmatch game.	本体/MTUT/Key:fe9c1ab3	线上多人教程整组挂起(待拍板)
挂起-MAIN长句/标签(待实机分流)	Bloom in	本体/MAIN/Key:5c2428a1	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Bloom out	本体/MAIN/Key:007e7153	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Bloom in/out	本体/MAIN/Key:f350d6f8	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Social Club	本体/MAIN/Key:fde4902e	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Social Club	本体/MAIN/Key:8b9e55e3	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Social Club	本体/MAIN/Key:ab81f213	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Blips only	本体/MAIN/Key:e5ebc699	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	See through	本体/MAIN/Key:e55a0ccf	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Capture Head	本体/MAIN/Key:104ecb45	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Custom Head	本体/MAIN/Key:bd3973bc	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Midnight Theater	本体/MAIN/Key:41f0d6ea	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Auto Retune	本体/MAIN/Key:4f8c234c	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Music EQ	本体/MAIN/Key:3e8edc96	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Screen Position	本体/MAIN/Key:949d8b4d	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Dynamic Range	本体/MAIN/Key:d8ae1300	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 1	本体/MAIN/Key:b6805489	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 2	本体/MAIN/Key:c46df064	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 3	本体/MAIN/Key:561c93c3	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 4	本体/MAIN/Key:6b92beaf	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 5	本体/MAIN/Key:79b95afc	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 6	本体/MAIN/Key:0f71866e	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 7	本体/MAIN/Key:1cc32111	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Episode 8	本体/MAIN/Key:fb51de27	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Redefine 'On Foot' Controls	本体/MAIN/Key:88312035	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Redefine 'Melee Combat' Controls	本体/MAIN/Key:862419db	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Redefine 'In Vehicle' Controls	本体/MAIN/Key:f2fa13e5	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Redefine Controls	本体/MAIN/Key:a21d6dad	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	See Through	本体/MAIN/Key:ac2f1b53	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Set Game Name	本体/MAIN/Key:d4fd65bf	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Param 2	本体/MAIN/Key:b61ab2a0	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Param 3	本体/MAIN/Key:3169a93c	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Param 4	本体/MAIN/Key:43b84dd9	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Param 5	本体/MAIN/Key:4ccf6007	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Param 6	本体/MAIN/Key:df2404b2	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Line your face up with your webcam so that your facial features match the prompts shown above.	本体/MAIN/Key:47115a47	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	Grand Theft Auto IV	本体/MAIN/Key:042a40cd	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	ONLINE ID	本体/MAIN/Key:82e11cf2	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	The Beat 102.7	本体/MAIN/Key:2c05a83a	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	Vladivostok FM	本体/MAIN/Key:3df94c21	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	We Know The Truth	本体/MAIN/Key:9abc05a1	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Fusion FM	本体/MAIN/Key:ac5b28df	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	K109 The Studio	本体/MAIN/Key:753d3aa4	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Tuff Gong Radio	本体/MAIN/Key:8706de37	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	The Classics 104.1	本体/MAIN/Key:c391574f	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	The Vibe 98.8	本体/MAIN/Key:d5627af1	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	Public Liberty Radio	本体/MAIN/Key:9e148c56	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Electro Choc	本体/MAIN/Key:b19cb366	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	International Funk	本体/MAIN/Key:8bb5f958	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Jazz Nation Radio 108.5	本体/MAIN/Key:992f1452	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	Liberty City Hardcore	本体/MAIN/Key:a7e5b1bf	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Liberty Rock Radio 97.8	本体/MAIN/Key:278b3104	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	Massive B Soundsystem 96.9	本体/MAIN/Key:35da4da2	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	The Journey	本体/MAIN/Key:5240066d	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	San Juan Sounds	本体/MAIN/Key:d2938716	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Integrity 2.0	本体/MAIN/Key:e10623fb	MAIN 长句（来源混杂，多数可见性未证实，B 待实机分流升 A）
挂起-MAIN长句/标签(待实机分流)	Vice City FM	本体/MAIN/Key:4a2afbc3	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Self Actualization FM	本体/MAIN/Key:4ee20525	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	Ram Jam FM	本体/MAIN/Key:68c238e5	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	CAPS LOCK	本体/MAIN/Key:36d1988b	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	NUM LOCK	本体/MAIN/Key:39858d37	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	SCRL LOCK	本体/MAIN/Key:858ca678	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	PREV TRACK	本体/MAIN/Key:00292978	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	NEXT TRACK	本体/MAIN/Key:a3a4f1b5	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	MEDIA STOP	本体/MAIN/Key:86123330	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	VOL DN	本体/MAIN/Key:48a8b956	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	VOL UP	本体/MAIN/Key:a33b6e7e	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	WEB HOME	本体/MAIN/Key:815c2ac0	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	WEB SEARCH	本体/MAIN/Key:974da9b5	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	WEB FAV	本体/MAIN/Key:ba14ee37	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	WEB REFRESH	本体/MAIN/Key:88520ab2	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	WEB STOP	本体/MAIN/Key:068e072c	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	WEB FORWARD	本体/MAIN/Key:14c8a3a1	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	WEB BACK	本体/MAIN/Key:63ebc1e6	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	MY COMP	本体/MAIN/Key:512a9c64	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	MEDIA SEL	本体/MAIN/Key:3e15f637	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 1 Left	本体/MAIN/Key:3937485b	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 1 Up	本体/MAIN/Key:47e465b5	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 2 Left	本体/MAIN/Key:15998120	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 2 Up	本体/MAIN/Key:14ab7f50	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 1 Right	本体/MAIN/Key:c6bbf883	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 1 Down	本体/MAIN/Key:5c0d2323	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 2 Right	本体/MAIN/Key:4da2864e	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS 2 Down	本体/MAIN/Key:7fb5ea74	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS LX	本体/MAIN/Key:a6fa69bb	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS LY	本体/MAIN/Key:79748eb0	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS LZ	本体/MAIN/Key:8b23b20e	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS LRX	本体/MAIN/Key:ddf9d7b9	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS LRY	本体/MAIN/Key:5f9cdb01	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS LRZ	本体/MAIN/Key:6e61788a	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS SLIDER 0	本体/MAIN/Key:405b9c7f	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	AXIS SLIDER 1	本体/MAIN/Key:931441ef	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
挂起-MAIN长句/标签(待实机分流)	NRG 900	本体/MAIN/Key:47b9138a	MAIN 标签式短名（物品/电台/专名，可借术语表批量核对）
